"","Source","Region","Year","Month","CPUE","Count","Season"
"1","20mm","Grizzly Bay",2010,3,0,0,"Spring"
"2","20mm","Grizzly Bay",2010,4,0,0,"Spring"
"3","20mm","Grizzly Bay",2010,5,0.000176323883572753,1,"Spring"
"4","20mm","Grizzly Bay",2010,6,0.00136793015758174,7,"Summer"
"5","20mm","Grizzly Bay",2011,3,0,0,"Spring"
"6","20mm","Grizzly Bay",2011,4,0.00112311558937253,6,"Spring"
"7","20mm","Grizzly Bay",2011,5,0.00416039238541808,20,"Spring"
"8","20mm","Grizzly Bay",2011,6,0.00897058382477183,45,"Summer"
"9","20mm","Grizzly Bay",2011,7,0.0219570921967119,65,"Summer"
"10","20mm","Grizzly Bay",2012,3,0.000411399648678188,2,"Spring"
"11","20mm","Grizzly Bay",2012,4,0.000186071122972872,1,"Spring"
"12","20mm","Grizzly Bay",2012,5,0.000442183342015193,2,"Spring"
"13","20mm","Grizzly Bay",2012,6,0,0,"Summer"
"14","20mm","Grizzly Bay",2012,7,0.000404880073686033,1,"Summer"
"15","20mm","Grizzly Bay",2013,3,0,0,"Spring"
"16","20mm","Grizzly Bay",2013,4,0,0,"Spring"
"17","20mm","Grizzly Bay",2013,5,0,0,"Spring"
"18","20mm","Grizzly Bay",2013,6,0,0,"Summer"
"19","20mm","Grizzly Bay",2013,7,0,0,"Summer"
"20","20mm","Grizzly Bay",2014,3,0,0,"Spring"
"21","20mm","Grizzly Bay",2014,4,0,0,"Spring"
"22","20mm","Grizzly Bay",2014,5,0,0,"Spring"
"23","20mm","Grizzly Bay",2014,6,0,0,"Summer"
"24","20mm","Grizzly Bay",2014,7,0,0,"Summer"
"25","20mm","Grizzly Bay",2015,3,0,0,"Spring"
"26","20mm","Grizzly Bay",2015,4,0,0,"Spring"
"27","20mm","Grizzly Bay",2015,5,0,0,"Spring"
"28","20mm","Grizzly Bay",2015,6,0,0,"Summer"
"29","20mm","Grizzly Bay",2015,7,0,0,"Summer"
"30","20mm","Grizzly Bay",2016,3,0,0,"Spring"
"31","20mm","Grizzly Bay",2016,4,0.000173055049462531,1,"Spring"
"32","20mm","Grizzly Bay",2016,5,0,0,"Spring"
"33","20mm","Grizzly Bay",2016,6,0.000348001571187774,2,"Summer"
"34","20mm","Grizzly Bay",2016,7,0.00050098048959489,1,"Summer"
"35","20mm","Grizzly Bay",2017,3,0,0,"Spring"
"36","20mm","Grizzly Bay",2017,4,0,0,"Spring"
"37","20mm","Grizzly Bay",2017,5,0,0,"Spring"
"38","20mm","Grizzly Bay",2017,6,0.000171766834390419,1,"Summer"
"39","20mm","Grizzly Bay",2017,7,0.0031389828803507,8,"Summer"
"40","20mm","Grizzly Bay",2018,3,0,0,"Spring"
"41","20mm","Grizzly Bay",2018,4,0,0,"Spring"
"42","20mm","Grizzly Bay",2018,5,0,0,"Spring"
"43","20mm","Grizzly Bay",2018,6,0,0,"Summer"
"44","20mm","Grizzly Bay",2018,7,0,0,"Summer"
"45","20mm","Grizzly Bay",2019,3,0,0,"Spring"
"46","20mm","Grizzly Bay",2019,4,0,0,"Spring"
"47","20mm","Grizzly Bay",2019,5,0,0,"Spring"
"48","20mm","Grizzly Bay",2019,6,0,0,"Summer"
"49","20mm","Grizzly Bay",2019,7,0,0,"Summer"
"50","20mm","Grizzly Bay",2020,3,0,0,"Spring"
"51","20mm","Grizzly Bay",2020,5,0,0,"Spring"
"52","20mm","Grizzly Bay",2020,6,0,0,"Summer"
"53","20mm","Grizzly Bay",2020,7,0,0,"Summer"
"54","20mm","Grizzly Bay",2021,3,0,0,"Spring"
"55","20mm","Grizzly Bay",2021,4,0,0,"Spring"
"56","20mm","Grizzly Bay",2021,5,0,0,"Spring"
"57","20mm","Grizzly Bay",2021,6,0,0,"Summer"
"58","20mm","Grizzly Bay",2021,7,0,0,"Summer"
"59","20mm","Grizzly Bay",2022,3,0,0,"Spring"
"60","20mm","Grizzly Bay",2022,4,0,0,"Spring"
"61","20mm","Grizzly Bay",2022,5,0,0,"Spring"
"62","20mm","Grizzly Bay",2022,6,0,0,"Summer"
"63","20mm","Grizzly Bay",2023,3,0,0,"Spring"
"64","20mm","Grizzly Bay",2023,4,0,0,"Spring"
"65","20mm","Grizzly Bay",2023,5,0,0,"Spring"
"66","20mm","Grizzly Bay",2023,6,0,0,"Summer"
"67","20mm","Grizzly Bay",2023,7,0,0,"Summer"
"68","20mm","River",2010,3,0.000212414533339286,6,"Spring"
"69","20mm","River",2010,4,5.11768586067792e-05,2,"Spring"
"70","20mm","River",2010,5,0.000950898286698973,33,"Spring"
"71","20mm","River",2010,6,0.000441870432371851,15,"Summer"
"72","20mm","River",2010,7,0.00462056953900525,66,"Summer"
"73","20mm","River",2011,3,3.08178254125645e-05,1,"Spring"
"74","20mm","River",2011,4,0,0,"Spring"
"75","20mm","River",2011,5,0.000151372974913843,5,"Spring"
"76","20mm","River",2011,6,2.90720949576095e-05,1,"Summer"
"77","20mm","River",2011,7,0.000455810238161515,8,"Summer"
"78","20mm","River",2012,3,0.000502187936003055,16,"Spring"
"79","20mm","River",2012,4,0.000339671220630681,11,"Spring"
"80","20mm","River",2012,5,0.00385615232387508,122,"Spring"
"81","20mm","River",2012,6,0.00207905159540941,67,"Summer"
"82","20mm","River",2012,7,0.000124275819772377,2,"Summer"
"83","20mm","River",2013,3,0.000164463776922449,5,"Spring"
"84","20mm","River",2013,4,0.00194953429617558,59,"Spring"
"85","20mm","River",2013,5,0.00281025823652029,81,"Spring"
"86","20mm","River",2013,6,0.00496117144111821,153,"Summer"
"87","20mm","River",2013,7,0.000949010381728022,14,"Summer"
"88","20mm","River",2014,3,6.30713731645168e-05,1,"Spring"
"89","20mm","River",2014,4,0.000148740407067362,7,"Spring"
"90","20mm","River",2014,5,0.000369004280265595,12,"Spring"
"91","20mm","River",2014,6,0.000623700978026791,19,"Summer"
"92","20mm","River",2014,7,0.000131605968645919,2,"Summer"
"93","20mm","River",2015,3,5.39247777113934e-05,1,"Spring"
"94","20mm","River",2015,4,9.87781805969629e-05,4,"Spring"
"95","20mm","River",2015,5,2.88997378586264e-05,1,"Spring"
"96","20mm","River",2015,6,5.44396119818677e-05,2,"Summer"
"97","20mm","River",2015,7,0,0,"Summer"
"98","20mm","River",2016,3,3.33726475963039e-05,1,"Spring"
"99","20mm","River",2016,4,2.90038170772512e-05,1,"Spring"
"100","20mm","River",2016,5,0.000468362638976624,6,"Spring"
"101","20mm","River",2016,6,0.000141303505445366,5,"Summer"
"102","20mm","River",2016,7,0,0,"Summer"
"103","20mm","River",2017,3,3.06986004151435e-05,1,"Spring"
"104","20mm","River",2017,4,0,0,"Spring"
"105","20mm","River",2017,5,0,0,"Spring"
"106","20mm","River",2017,6,0,0,"Summer"
"107","20mm","River",2017,7,0,0,"Summer"
"108","20mm","River",2018,3,5.31378296648387e-05,2,"Spring"
"109","20mm","River",2018,4,0,0,"Spring"
"110","20mm","River",2018,5,0,0,"Spring"
"111","20mm","River",2018,6,0,0,"Summer"
"112","20mm","River",2018,7,0.000185079692859756,2,"Summer"
"113","20mm","River",2019,3,0,0,"Spring"
"114","20mm","River",2019,4,2.76708068498033e-05,1,"Spring"
"115","20mm","River",2019,5,0,0,"Spring"
"116","20mm","River",2019,6,0,0,"Summer"
"117","20mm","River",2019,7,0,0,"Summer"
"118","20mm","River",2020,3,0,0,"Spring"
"119","20mm","River",2020,5,0,0,"Spring"
"120","20mm","River",2020,6,0,0,"Summer"
"121","20mm","River",2020,7,0,0,"Summer"
"122","20mm","River",2021,3,0,0,"Spring"
"123","20mm","River",2021,4,0,0,"Spring"
"124","20mm","River",2021,5,0,0,"Spring"
"125","20mm","River",2021,6,0,0,"Summer"
"126","20mm","River",2021,7,0,0,"Summer"
"127","20mm","River",2022,3,0.000119300817472514,2,"Spring"
"128","20mm","River",2022,4,0,0,"Spring"
"129","20mm","River",2022,5,0,0,"Spring"
"130","20mm","River",2022,6,0,0,"Summer"
"131","20mm","River",2023,3,0,0,"Spring"
"132","20mm","River",2023,4,5.64232165218191e-05,2,"Spring"
"133","20mm","River",2023,5,0,0,"Spring"
"134","20mm","River",2023,6,0,0,"Summer"
"135","20mm","River",2023,7,0,0,"Summer"
"136","20mm","Suisun Bay",2010,3,0,0,"Spring"
"137","20mm","Suisun Bay",2010,4,0.00016080164617809,4,"Spring"
"138","20mm","Suisun Bay",2010,5,0.000130330481465159,2,"Spring"
"139","20mm","Suisun Bay",2010,6,0.00139239810425558,26,"Summer"
"140","20mm","Suisun Bay",2010,7,0,0,"Summer"
"141","20mm","Suisun Bay",2011,3,0,0,"Spring"
"142","20mm","Suisun Bay",2011,4,0.000245280131404525,4,"Spring"
"143","20mm","Suisun Bay",2011,5,0.0014126755270691,23,"Spring"
"144","20mm","Suisun Bay",2011,6,0.00152751170708753,27,"Summer"
"145","20mm","Suisun Bay",2011,7,0.00176331851200399,16,"Summer"
"146","20mm","Suisun Bay",2012,3,0.000551836614076066,9,"Spring"
"147","20mm","Suisun Bay",2012,4,0.000425331025130919,7,"Spring"
"148","20mm","Suisun Bay",2012,5,0.00111365129035591,18,"Spring"
"149","20mm","Suisun Bay",2012,6,0.000176145684111585,3,"Summer"
"150","20mm","Suisun Bay",2012,7,0,0,"Summer"
"151","20mm","Suisun Bay",2013,3,0,0,"Spring"
"152","20mm","Suisun Bay",2013,4,6.29021904885816e-05,1,"Spring"
"153","20mm","Suisun Bay",2013,5,0,0,"Spring"
"154","20mm","Suisun Bay",2013,6,5.69993606206655e-05,1,"Summer"
"155","20mm","Suisun Bay",2013,7,0.00168846550909869,12,"Summer"
"156","20mm","Suisun Bay",2014,3,0,0,"Spring"
"157","20mm","Suisun Bay",2014,4,0,0,"Spring"
"158","20mm","Suisun Bay",2014,5,0,0,"Spring"
"159","20mm","Suisun Bay",2014,6,6.09048303645821e-05,1,"Summer"
"160","20mm","Suisun Bay",2014,7,0,0,"Summer"
"161","20mm","Suisun Bay",2015,3,0,0,"Spring"
"162","20mm","Suisun Bay",2015,4,0,0,"Spring"
"163","20mm","Suisun Bay",2015,5,0,0,"Spring"
"164","20mm","Suisun Bay",2015,6,0,0,"Summer"
"165","20mm","Suisun Bay",2015,7,0,0,"Summer"
"166","20mm","Suisun Bay",2016,3,0,0,"Spring"
"167","20mm","Suisun Bay",2016,4,6.18660723594473e-05,1,"Spring"
"168","20mm","Suisun Bay",2016,5,0,0,"Spring"
"169","20mm","Suisun Bay",2016,6,0,0,"Summer"
"170","20mm","Suisun Bay",2016,7,0,0,"Summer"
"171","20mm","Suisun Bay",2017,3,0,0,"Spring"
"172","20mm","Suisun Bay",2017,4,0,0,"Spring"
"173","20mm","Suisun Bay",2017,5,6.79249941116575e-05,1,"Spring"
"174","20mm","Suisun Bay",2017,6,5.84933855128842e-05,1,"Summer"
"175","20mm","Suisun Bay",2017,7,0,0,"Summer"
"176","20mm","Suisun Bay",2018,3,0,0,"Spring"
"177","20mm","Suisun Bay",2018,4,0,0,"Spring"
"178","20mm","Suisun Bay",2018,5,0,0,"Spring"
"179","20mm","Suisun Bay",2018,6,0,0,"Summer"
"180","20mm","Suisun Bay",2018,7,0,0,"Summer"
"181","20mm","Suisun Bay",2019,3,6.44371526010528e-05,1,"Spring"
"182","20mm","Suisun Bay",2019,4,0,0,"Spring"
"183","20mm","Suisun Bay",2019,5,0,0,"Spring"
"184","20mm","Suisun Bay",2019,6,0,0,"Summer"
"185","20mm","Suisun Bay",2019,7,0,0,"Summer"
"186","20mm","Suisun Bay",2020,3,0,0,"Spring"
"187","20mm","Suisun Bay",2020,5,0,0,"Spring"
"188","20mm","Suisun Bay",2020,6,0,0,"Summer"
"189","20mm","Suisun Bay",2020,7,0,0,"Summer"
"190","20mm","Suisun Bay",2021,3,0,0,"Spring"
"191","20mm","Suisun Bay",2021,4,0,0,"Spring"
"192","20mm","Suisun Bay",2021,5,0,0,"Spring"
"193","20mm","Suisun Bay",2021,6,0,0,"Summer"
"194","20mm","Suisun Bay",2021,7,0,0,"Summer"
"195","20mm","Suisun Bay",2022,3,0,0,"Spring"
"196","20mm","Suisun Bay",2022,4,0,0,"Spring"
"197","20mm","Suisun Bay",2022,5,0,0,"Spring"
"198","20mm","Suisun Bay",2022,6,0,0,"Summer"
"199","20mm","Suisun Bay",2023,3,0,0,"Spring"
"200","20mm","Suisun Bay",2023,4,5.44718779865747e-05,1,"Spring"
"201","20mm","Suisun Bay",2023,5,0,0,"Spring"
"202","20mm","Suisun Bay",2023,6,0,0,"Summer"
"203","20mm","Suisun Bay",2023,7,0,0,"Summer"
"204","20mm","Suisun Marsh",2010,3,0,0,"Spring"
"205","20mm","Suisun Marsh",2010,4,0,0,"Spring"
"206","20mm","Suisun Marsh",2010,5,0.00117602824325093,20,"Spring"
"207","20mm","Suisun Marsh",2010,6,0.00108737466971149,19,"Summer"
"208","20mm","Suisun Marsh",2011,3,0.000122029118451171,2,"Spring"
"209","20mm","Suisun Marsh",2011,4,0.000513085648603792,9,"Spring"
"210","20mm","Suisun Marsh",2011,5,0.00279421306028168,46,"Spring"
"211","20mm","Suisun Marsh",2011,6,0.0140314527827201,252,"Summer"
"212","20mm","Suisun Marsh",2011,7,0.000988350739569035,9,"Summer"
"213","20mm","Suisun Marsh",2012,3,0.000725102024777086,12,"Spring"
"214","20mm","Suisun Marsh",2012,4,0.000787872013838559,13,"Spring"
"215","20mm","Suisun Marsh",2012,5,0.00442970638171799,71,"Spring"
"216","20mm","Suisun Marsh",2012,6,0.00103917435387478,17,"Summer"
"217","20mm","Suisun Marsh",2012,7,0,0,"Summer"
"218","20mm","Suisun Marsh",2013,3,0.000240562849495944,4,"Spring"
"219","20mm","Suisun Marsh",2013,4,6.18676423580538e-05,1,"Spring"
"220","20mm","Suisun Marsh",2013,5,0.00339881580759567,61,"Spring"
"221","20mm","Suisun Marsh",2013,6,0.00315561285647045,56,"Summer"
"222","20mm","Suisun Marsh",2013,7,0,0,"Summer"
"223","20mm","Suisun Marsh",2014,3,0.000132885069691587,1,"Spring"
"224","20mm","Suisun Marsh",2014,4,0,0,"Spring"
"225","20mm","Suisun Marsh",2014,5,0,0,"Spring"
"226","20mm","Suisun Marsh",2014,6,0.000117596216016148,2,"Summer"
"227","20mm","Suisun Marsh",2014,7,0,0,"Summer"
"228","20mm","Suisun Marsh",2015,3,0,0,"Spring"
"229","20mm","Suisun Marsh",2015,4,0,0,"Spring"
"230","20mm","Suisun Marsh",2015,5,0,0,"Spring"
"231","20mm","Suisun Marsh",2015,6,5.36059585479471e-05,1,"Summer"
"232","20mm","Suisun Marsh",2015,7,0,0,"Summer"
"233","20mm","Suisun Marsh",2016,3,0,0,"Spring"
"234","20mm","Suisun Marsh",2016,4,0.000232116954679507,4,"Spring"
"235","20mm","Suisun Marsh",2016,5,0.000115794552281617,2,"Spring"
"236","20mm","Suisun Marsh",2016,6,0,0,"Summer"
"237","20mm","Suisun Marsh",2016,7,0,0,"Summer"
"238","20mm","Suisun Marsh",2017,3,0.000128218800353209,2,"Spring"
"239","20mm","Suisun Marsh",2017,4,5.89695559854662e-05,1,"Spring"
"240","20mm","Suisun Marsh",2017,5,4.79593716087353e-05,1,"Spring"
"241","20mm","Suisun Marsh",2017,6,0,0,"Summer"
"242","20mm","Suisun Marsh",2017,7,0,0,"Summer"
"243","20mm","Suisun Marsh",2018,3,0,0,"Spring"
"244","20mm","Suisun Marsh",2018,4,0,0,"Spring"
"245","20mm","Suisun Marsh",2018,5,0,0,"Spring"
"246","20mm","Suisun Marsh",2018,6,0,0,"Summer"
"247","20mm","Suisun Marsh",2018,7,0,0,"Summer"
"248","20mm","Suisun Marsh",2019,3,0,0,"Spring"
"249","20mm","Suisun Marsh",2019,4,0,0,"Spring"
"250","20mm","Suisun Marsh",2019,5,5.80420629690761e-05,1,"Spring"
"251","20mm","Suisun Marsh",2019,6,0,0,"Summer"
"252","20mm","Suisun Marsh",2019,7,0,0,"Summer"
"253","20mm","Suisun Marsh",2020,3,0,0,"Spring"
"254","20mm","Suisun Marsh",2020,5,0,0,"Spring"
"255","20mm","Suisun Marsh",2020,6,0,0,"Summer"
"256","20mm","Suisun Marsh",2020,7,0,0,"Summer"
"257","20mm","Suisun Marsh",2021,3,0,0,"Spring"
"258","20mm","Suisun Marsh",2021,4,0,0,"Spring"
"259","20mm","Suisun Marsh",2021,5,0,0,"Spring"
"260","20mm","Suisun Marsh",2021,6,0,0,"Summer"
"261","20mm","Suisun Marsh",2021,7,0,0,"Summer"
"262","20mm","Suisun Marsh",2022,3,0,0,"Spring"
"263","20mm","Suisun Marsh",2022,4,0,0,"Spring"
"264","20mm","Suisun Marsh",2022,5,0,0,"Spring"
"265","20mm","Suisun Marsh",2022,6,0,0,"Summer"
"266","20mm","Suisun Marsh",2023,3,0,0,"Spring"
"267","20mm","Suisun Marsh",2023,4,0,0,"Spring"
"268","20mm","Suisun Marsh",2023,5,0,0,"Spring"
"269","20mm","Suisun Marsh",2023,6,0,0,"Summer"
"270","20mm","Suisun Marsh",2023,7,0,0,"Summer"
"271","20mm",NA,2010,3,2.2975890904672e-05,4,"Spring"
"272","20mm",NA,2010,4,0.000379541730354988,78,"Spring"
"273","20mm",NA,2010,5,0.00167220024831295,325,"Spring"
"274","20mm",NA,2010,6,0.00131103805974847,206,"Summer"
"275","20mm",NA,2010,7,0.000423338010171377,24,"Summer"
"276","20mm",NA,2011,3,1.5675026850192e-05,3,"Spring"
"277","20mm",NA,2011,4,0.000792119635291921,150,"Spring"
"278","20mm",NA,2011,5,0.000937220810029527,187,"Spring"
"279","20mm",NA,2011,6,0.00128363146567193,256,"Summer"
"280","20mm",NA,2011,7,0.000348342182846538,35,"Summer"
"281","20mm",NA,2012,3,6.7803135255916e-05,13,"Spring"
"282","20mm",NA,2012,4,0.000228332180837039,42,"Spring"
"283","20mm",NA,2012,5,0.00205555350126778,391,"Spring"
"284","20mm",NA,2012,6,0.00155471928366216,298,"Summer"
"285","20mm",NA,2012,7,0.000209925219116057,21,"Summer"
"286","20mm",NA,2013,3,0.00014027524232671,24,"Spring"
"287","20mm",NA,2013,4,0.0016645350378535,284,"Spring"
"288","20mm",NA,2013,5,0.00158941821978994,256,"Spring"
"289","20mm",NA,2013,6,0.000591387649759185,115,"Summer"
"290","20mm",NA,2013,7,7.70950217353038e-05,7,"Summer"
"291","20mm",NA,2014,3,2.85918375567185e-05,2,"Spring"
"292","20mm",NA,2014,4,0.000154023274002259,42,"Spring"
"293","20mm",NA,2014,5,0.000803595504415081,148,"Spring"
"294","20mm",NA,2014,6,8.54846927969301e-05,20,"Summer"
"295","20mm",NA,2014,7,0,0,"Summer"
"296","20mm",NA,2015,3,0,0,"Spring"
"297","20mm",NA,2015,4,0.000130735956575243,30,"Spring"
"298","20mm",NA,2015,5,0.000210749557690915,42,"Spring"
"299","20mm",NA,2015,6,5.76134078098875e-05,12,"Summer"
"300","20mm",NA,2015,7,9.69204922519088e-06,1,"Summer"
"301","20mm",NA,2016,3,1.92169767797993e-05,4,"Spring"
"302","20mm",NA,2016,4,0.000282465724957498,55,"Spring"
"303","20mm",NA,2016,5,0.000172058166498578,33,"Spring"
"304","20mm",NA,2016,6,5.32448867370992e-05,11,"Summer"
"305","20mm",NA,2016,7,9.27609646269203e-06,1,"Summer"
"306","20mm",NA,2017,3,5.87292944632639e-05,13,"Spring"
"307","20mm",NA,2017,4,0.000242930428882601,53,"Spring"
"308","20mm",NA,2017,5,0.000406382492101285,84,"Spring"
"309","20mm",NA,2017,6,9.36862601134192e-05,17,"Summer"
"310","20mm",NA,2017,7,1.40912230025326e-05,1,"Summer"
"311","20mm",NA,2018,3,4.28789378364756e-05,8,"Spring"
"312","20mm",NA,2018,4,7.09035824585726e-06,1,"Spring"
"313","20mm",NA,2018,5,0,0,"Spring"
"314","20mm",NA,2018,6,0,0,"Summer"
"315","20mm",NA,2018,7,0,0,"Summer"
"316","20mm",NA,2019,3,9.47198446101444e-06,2,"Spring"
"317","20mm",NA,2019,4,3.00020354780427e-05,7,"Spring"
"318","20mm",NA,2019,5,8.52784379574577e-06,2,"Spring"
"319","20mm",NA,2019,6,9.22142185248157e-06,2,"Summer"
"320","20mm",NA,2019,7,0,0,"Summer"
"321","20mm",NA,2020,3,0,0,"Spring"
"322","20mm",NA,2020,4,0,0,"Spring"
"323","20mm",NA,2020,5,0,0,"Spring"
"324","20mm",NA,2020,6,0,0,"Summer"
"325","20mm",NA,2020,7,0,0,"Summer"
"326","20mm",NA,2021,3,0,0,"Spring"
"327","20mm",NA,2021,4,0,0,"Spring"
"328","20mm",NA,2021,5,5.31375546791103e-06,1,"Spring"
"329","20mm",NA,2021,6,0,0,"Summer"
"330","20mm",NA,2021,7,0,0,"Summer"
"331","20mm",NA,2022,3,4.94841554666884e-05,5,"Spring"
"332","20mm",NA,2022,4,1.17866023621126e-05,2,"Spring"
"333","20mm",NA,2022,5,0,0,"Spring"
"334","20mm",NA,2022,6,0,0,"Summer"
"335","20mm",NA,2023,3,2.99508875741218e-05,6,"Spring"
"336","20mm",NA,2023,4,3.1913686626545e-05,9,"Spring"
"337","20mm",NA,2023,5,3.84279414656141e-06,1,"Spring"
"338","20mm",NA,2023,6,0,0,"Summer"
"339","20mm",NA,2023,7,0,0,"Summer"
"340","DJFMP","River",2010,1,0.0496969696969697,41,"Spring"
"341","DJFMP","River",2010,2,0.00825396825396825,6,"Spring"
"342","DJFMP","River",2010,3,0,0,"Spring"
"343","DJFMP","River",2010,4,0,0,"Spring"
"344","DJFMP","River",2010,5,0,0,"Spring"
"345","DJFMP","River",2010,6,0,0,"Summer"
"346","DJFMP","River",2010,7,0,0,"Summer"
"347","DJFMP","River",2010,8,0.00269360269360269,3,"Summer"
"348","DJFMP","River",2010,9,0,0,"Fall"
"349","DJFMP","River",2010,10,0,0,"Fall"
"350","DJFMP","River",2010,11,0,0,"Fall"
"351","DJFMP","River",2010,12,0.00137174211248285,1,"Fall"
"352","DJFMP","River",2011,1,0,0,"Spring"
"353","DJFMP","River",2011,2,0,0,"Spring"
"354","DJFMP","River",2011,3,0,0,"Spring"
"355","DJFMP","River",2011,4,0,0,"Spring"
