"agency","survey_char","collection_date","depth_bottom","fish_id","StationCode","SampleDate","MethodCode","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","Secchi","WaterTemp","SpecificConductance","TurbidityNTU","DO","CommonName","ForkLength","SpecialStudy","FishComments","Count"
"usfws","edsm",2017-08-10,NA,"E1","18-02-CS01",2017-08-10,"KDTR",38.33263,38.33302,-121.64747,-121.64732,0.5,22.8999996185303,246,21.2000007629395,7.68,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E10","18-08-LSR01",2017-09-18,"KDTR",38.06795,38.06716,-121.85263,-121.85567,0.579999983310699,20.8999996185303,159.100006103516,16.2000007629395,10.08,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E11","18-08-LSR01",2017-09-18,"KDTR",38.06795,38.06716,-121.85263,-121.85567,0.579999983310699,20.8999996185303,159.100006103516,16.2000007629395,10.08,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E12","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",55,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E13","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E14","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E15","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-08-10,NA,"E151","18-02-SBM02",2017-08-10,"KDTR",38.06603,38.06591,-122.04357,-122.04493,0.400000005960464,22.3999996185303,8404,47.0999984741211,12.75,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-08-11,NA,"E152","18-02-SBM04",2017-08-11,"KDTR",38.06836,38.06823,-121.96778,-121.96752,0.469999998807907,22.2000007629395,6152,48.2999992370605,7.5,"Delta Smelt",40,"DOP",NA,1
"usfws","edsm",2017-08-11,NA,"E153","18-02-SBM04",2017-08-11,"KDTR",38.06836,38.06823,-121.96778,-121.96752,0.469999998807907,22.2000007629395,6152,48.2999992370605,7.5,"Delta Smelt",64,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E154","18-03-SM02",2017-08-16,"KDTR",38.13345,38.13296,-122.05863,-122.05872,0.319999992847443,19.7999992370605,8679,55.2999992370605,8.34,"Delta Smelt",50,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E155","18-03-SM02",2017-08-16,"KDTR",38.13345,38.13296,-122.05863,-122.05872,0.319999992847443,19.7999992370605,8679,55.2999992370605,8.34,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E156","18-03-SM02",2017-08-16,"KDTR",38.13332,38.13281,-122.05877,-122.05928,0.310000002384186,20.2999992370605,9358,83.5999984741211,8.13,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-08-16,NA,"E157","18-03-HB01",2017-08-16,"KDTR",38.04787,38.04845,-121.88599,-121.88593,0.639999985694885,21.5,3235,20.2000007629395,8.16,"Delta Smelt",52,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E158","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E159","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E16","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E160","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",50,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E161","18-04-SBM05",2017-08-22,"KDTR",38.08259,38.08237,-122.04039,-122.03993,0.259999990463257,20,10399,63.2999992370605,8.16,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E162","18-04-SBM05",2017-08-22,"KDTR",38.08249,38.08254,-122.04176,-122.04214,0.25,20.2999992370605,9050,80.8000030517578,8.4,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E163","18-04-SBM02",2017-08-22,"KDTR",38.11064,38.10858,-122.05485,-122.05493,0.300000011920929,20.5,9066,95.4000015258789,8.05,"Delta Smelt",46,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E164","18-04-LSJ03",2017-08-23,"KDTR",38.05,38.0496,-121.84295,-121.84169,0.259999990463257,21.1000003814697,1453,30,10.03,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E165","18-05-SBM02",2017-08-30,"KDTR",38.06593,38.06609,-122.0193,-122.01675,0.409999996423721,21.8999996185303,3676,24.5,10.4,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-09-07,NA,"E166","18-06-SBM01",2017-09-07,"KDTR",38.06343,38.06339,-122.00608,-122.00648,0.430000007152557,22.5,7776,37.0999984741211,7.62,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-09-07,NA,"E167","18-06-SBM02",2017-09-07,"KDTR",38.09897,38.09949,-122.06764,-122.06666,0.28999999165535,22.7999992370605,8813,85.1999969482422,7.33,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-09-11,NA,"E168","18-07-SBM01",2017-09-11,"KDTR",38.05986,38.05977,-122.04905,-122.0512,0.490000009536743,22.2000007629395,12416,28.1000003814697,7.35,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-09-11,NA,"E169","18-07-SBM02",2017-09-11,"KDTR",38.0954,38.09576,-122.05762,-122.05719,0.439999997615814,22.2999992370605,11854,27.7999992370605,7.54,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E17","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-09-12,NA,"E170","18-07-HB01",2017-09-12,"KDTR",38.05575,38.05569,-121.95713,-121.95687,0.639999985694885,22.7999992370605,4489,28.7999992370605,7.47,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-09-12,NA,"E171","18-07-SBM03",2017-09-12,"KDTR",38.07182,38.07194,-122.01657,-122.01763,0.46000000834465,22.2999992370605,9199,36.2999992370605,7.56,"Delta Smelt",51,"DOP",NA,1
"usfws","edsm",2017-09-20,NA,"E172","18-08-SM01",2017-09-20,"KDTR",38.16665,38.16731,-122.04294,-122.0424,0.319999992847443,20.7000007629395,7268,66.5,7.36,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-09-20,NA,"E173","18-08-SBM01",2017-09-20,"KDTR",38.09716,38.09821,-122.05571,-122.05551,0.319999992847443,20.1000003814697,7555,79.5,8.1,"Delta Smelt",48,"DOP",NA,1
"usfws","edsm",2017-09-27,NA,"E174","18-09-SBM01",2017-09-27,"KDTR",38.07179,38.07194,-121.98429,-121.98444,0.5,19.7000007629395,5271,31.7999992370605,7.77,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-09-29,NA,"E175","18-09-SBM02",2017-09-29,"KDTR",38.06076,38.06071,-121.99764,-121.9971,0.819999992847443,19.7000007629395,4890,13.1000003814697,9.6,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E176","18-11-SM01",2017-10-10,"KDTR",38.17229,38.17177,-121.96269,-121.96226,0.28999999165535,17.7999992370605,6903,44.9000015258789,7.46,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-10-17,NA,"E177","18-12-SM01",2017-10-17,"KDTR",38.17888,38.17918,-122.00564,-122.00519,0.349999994039536,17,8184,56.2999992370605,7.24,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-10-25,NA,"E178","18-13-HB01",2017-10-25,"KDTR",38.04918,38.04929,-121.90007,-121.9009,0.569999992847443,16.8999996185303,4064,23.1000003814697,10.8,"Delta Smelt",51,"DOP",NA,1
"usfws","edsm",2017-10-30,NA,"E179","18-14-SM01",2017-10-30,"KDTR",38.17471,38.17511,-121.94838,-121.94893,0.449999988079071,17.7999992370605,7524,33.0999984741211,7.45,"Delta Smelt",52,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E18","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",57,"DOP",NA,1
"usfws","edsm",2017-11-27,NA,"E180","18-18-SM01",2017-11-27,"KDTR",38.18622,38.1863,-121.97034,-121.97102,0.319999992847443,14.3999996185303,8434,38.2999992370605,7.2,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-11-27,NA,"E181","18-18-SM01",2017-11-27,"KDTR",38.18622,38.1863,-121.97034,-121.97102,NA,NA,NA,NA,NA,"Delta Smelt",69,"DOP",NA,1
"usfws","edsm",2017-11-28,NA,"E182","18-18-SBM02",2017-11-28,"KDTR",38.08188,38.08131,-121.99543,-121.995,0.639999985694885,14,10196,16.8999996185303,9.45,"Delta Smelt",55,"DOP",NA,1
"usfws","edsm",2017-11-28,NA,"E183","18-18-HB01",2017-11-28,"KDTR",38.04472,38.04459,-121.91732,-121.9159,0.529999971389771,14.1999998092651,5364,26,9.27,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E19","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",42,"DOP",NA,1
"usfws","edsm",2017-08-15,NA,"E2","18-03-SSC02",2017-08-15,"KDTR",38.38629,38.38544,-121.62384,-121.62427,0.280000001192093,22.7999992370605,418.799987792969,39.7000007629395,9.12,"Delta Smelt",54,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E20","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",48,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E21","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E22","18-08-LSR02",2017-09-18,"KDTR",38.05451,38.05445,-121.86867,-121.86962,0.540000021457672,21.3999996185303,435.899993896484,21.2000007629395,9.76,"Delta Smelt",45,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E23","18-08-LSR02",2017-09-18,"KDTR",38.05451,38.05445,-121.86867,-121.86962,0.540000021457672,21.3999996185303,435.899993896484,21.2000007629395,9.76,"Delta Smelt",44,"DOP",NA,1
"usfws","edsm",2017-09-18,NA,"E24","18-08-LSR01",2017-09-18,"KDTR",38.06774,38.06714,-121.85245,-121.85539,0.560000002384186,20.8999996185303,182.199996948242,19.7999992370605,10.14,"Delta Smelt",55,"DOP/L",NA,1
"usfws","edsm",2017-09-29,NA,"E25","18-09-LSR01",2017-09-29,"KDTR",38.05674,38.05564,-121.87676,-121.87718,1.07000005245209,18.8999996185303,157.399993896484,9.68000030517578,8.64,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-10-04,NA,"E26","18-10-LSR06",2017-10-04,"KDTR",38.06202,38.06144,-121.86855,-121.86944,0.519999980926514,18.3999996185303,886,20.3999996185303,8.03,"Delta Smelt",62,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E27","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E28","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",47,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E29","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-08-21,NA,"E3","18-04-LSR03",2017-08-21,"KDTR",38.05251,38.05306,-121.86898,-121.86742,0.449999988079071,20.8999996185303,2632,24.6000003814697,7.98,"Delta Smelt",48,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E30","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E31","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",44,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E32","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",57,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E33","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E34","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E35","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",50,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E36","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",65,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E37","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",59,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E38","18-11-LSR01",2017-10-10,"KDTR",38.07626,38.07585,-121.77185,-121.77234,0.529999971389771,16.7000007629395,118.300003051758,46.0999984741211,8.65,"Delta Smelt",67,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E39","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-08-22,NA,"E4","18-04-SSC02",2017-08-22,"KDTR",38.39545,38.39653,-121.61918,-121.61866,0.300000011920929,22.8999996185303,1420,56.2999992370605,9.75,"Delta Smelt",49,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E40","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",56,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E41","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",53,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E42","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",52,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E43","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",60,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E44","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",63,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E45","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",59,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E46","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",58,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E47","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",51,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E48","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",55,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E49","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",59,"DOP",NA,1
"usfws","edsm",2017-08-28,NA,"E5","18-05-LSR02",2017-08-28,"KDTR",38.06747,38.06775,-121.8454,-121.84589,0.529999971389771,21.8999996185303,902,23.5,7.66,"Delta Smelt",51,"DOP",NA,1
"usfws","edsm",2017-10-10,NA,"E50","18-11-LSR01",2017-10-10,"KDTR",38.07579,38.07556,-121.77238,-121.7729,0.519999980926514,16.7999992370605,137,36.0999984741211,8.8,"Delta Smelt",51,"DOP",NA,1
